date,site,survey,grazer,vertical_dist,habitat,site,position(m),wrack_sp,on_wrack,off_wrack,meta_notes
1/11/20,Cosign,wrack_grzr_focus,Ab,low,AbUrch,1,0,Macrocystis,0,10,target count in survey is 10
1/11/20,Cosign,wrack_grzr_focus,Ab,low,AbUrch,1,2,Macrocystis,0,10,waypoints for Trans 1 55-56
1/11/20,Cosign,wrack_grzr_focus,Ab,low,AbUrch,1,4,Macrocystis,0,10,Tran 1 observer/recorder JL
1/11/20,Cosign,wrack_grzr_focus,Ab,low,AbUrch,1,6,Macrocystis,3,7,Tran 2 observer JL RD
1/11/20,Cosign,wrack_grzr_focus,Ab,low,AbUrch,1,8,Macrocystis,0,10,Tran 2 recorder SF
1/11/20,Cosign,wrack_grzr_focus,Ab,low,AbUrch,1,10,Macrocystis,0,10,
1/11/20,Cosign,wrack_grzr_focus,Ab,low,AbUrch,1,12,Macrocystis,0,10,
1/11/20,Cosign,wrack_grzr_focus,Ab,low,AbUrch,1,14,Macrocystis,0,10,
1/11/20,Cosign,wrack_grzr_focus,Ab,low,AbUrch,1,16,Macrocystis,NA,NA,
1/11/20,Cosign,wrack_grzr_focus,Ab,low,AbUrch,1,18,Macrocystis,1,9,
1/11/20,Cosign,wrack_grzr_focus,Ab,low,AbUrch,1,20,Macrocystis,0,10,
1/11/20,Cosign,wrack_grzr_focus,Ab,low,AbUrch,1,22,Macrocystis,1,9,
1/11/20,Cosign,wrack_grzr_focus,Ab,low,AbUrch,1,24,Macrocystis,2,9,
1/11/20,Cosign,wrack_grzr_focus,Ab,low,AbUrch,1,26,Macrocystis,6,8,
1/11/20,Cosign,wrack_grzr_focus,Ab,low,AbUrch,1,28,Macrocystis,1,4,
1/11/20,Cosign,wrack_grzr_focus,Ab,low,AbUrch,1,30,Macrocystis,0,9,
1/11/20,Cosign,wrack_grzr_focus,Ab,low,AbUrch,1,32,Macrocystis,0,10,
1/11/20,Cosign,wrack_grzr_focus,Ab,low,AbUrch,1,34,Macrocystis,3,10,
1/11/20,Cosign,wrack_grzr_focus,Ab,low,AbUrch,1,36,Macrocystis,1,9,
1/11/20,Cosign,wrack_grzr_focus,Ab,low,AbUrch,1,38,Macrocystis,0,10,
1/11/20,Cosign,wrack_grzr_focus,Ab,low,AbUrch,1,40,Macrocystis,2,8,
1/11/20,Cosign,wrack_grzr_focus,Ab,low,AbUrch,1,42,Macrocystis,0,10,
1/11/20,Cosign,wrack_grzr_focus,Ab,low,AbUrch,1,44,Macrocystis,NA,NA,
1/11/20,Cosign,wrack_grzr_focus,Ab,low,AbUrch,1,46,Macrocystis,1,9,
1/11/20,Cosign,wrack_grzr_focus,Ab,low,AbUrch,1,48,Macrocystis,0,10,
1/11/20,Cosign,wrack_grzr_focus,Ab,low,AbUrch,1,50,Macrocystis,0,10,
1/11/20,Cosign,wrack_grzr_focus,Ab,low,AbUrch,1,52,Macrocystis,1,9,
1/11/20,Cosign,wrack_grzr_focus,Ab,low/mid,Ab,2,0,Macrocystis,1,9,
1/11/20,Cosign,wrack_grzr_focus,Ab,low/mid,Ab,2,2,Macrocystis,2,8,
1/11/20,Cosign,wrack_grzr_focus,Ab,low/mid,Ab,2,4,Macrocystis,3,7,
1/11/20,Cosign,wrack_grzr_focus,Ab,low/mid,Ab,2,6,Macrocystis,3,7,
1/11/20,Cosign,wrack_grzr_focus,Ab,low/mid,Ab,2,8,Macrocystis,2,8,
1/11/20,Cosign,wrack_grzr_focus,Ab,low/mid,Ab,2,10,Macrocystis,0,10,
1/11/20,Cosign,wrack_grzr_focus,Ab,low/mid,Ab,2,12,Macrocystis,0,10,
1/11/20,Cosign,wrack_grzr_focus,Ab,low/mid,Ab,2,14,Macrocystis,0,10,
1/11/20,Cosign,wrack_grzr_focus,Ab,low/mid,Ab,2,16,Macrocystis,1,9,
1/11/20,Cosign,wrack_grzr_focus,Ab,low/mid,Ab,2,18,Macrocystis,3,7,
1/11/20,Cosign,wrack_grzr_focus,Ab,low/mid,Ab,2,20,Macrocystis,2,8,
