date,island,site,pool,treatment,dish,wi,wf,consumption,pachi,tegula,pagarus,legia ,littorina,homalopoma,lottia,total grazers,pool pachi,horneri
3/16/19,SCI,SHOBA,1,con,1,43.27,43.76,NA,,,,,,,,,17,NA
3/16/19,SCI,SHOBA,1,exp,42,44.02,21.34,23.97470588,9,,,4,,,,,,n
3/16/19,SCI,SHOBA,1,exp,44,50.74,51.54,-0.225407904,3,3,,,,,,,,y
3/16/19,SCI,SHOBA,1,con,72,44.54,45.85,NA,,,,,,,,,,NA
3/16/19,SCI,SHOBA,2,exp,14,41.15,26.93,15.26626354,1,,,,,,,,23,n
3/16/19,SCI,SHOBA,2,exp,37,39.63,24.24,15.84652206,2,,,,,,,,,y
3/16/19,SCI,SHOBA,2,con,41,40.8,41.27,NA,,,,,,,,,,NA
3/16/19,SCI,SHOBA,2,con,46,45.23,46.38,NA,,,,,,,,,,NA
3/16/19,SCI,SHOBA,3,con,2,42.7,42.42,NA,,,,,,,,,7,NA
3/16/19,SCI,SHOBA,3,exp,34,36.91,36.86,-0.192032787,1,,,,152,1,,,,n
3/16/19,SCI,SHOBA,3,exp,39,43.54,43.95,-0.41,1,,4,,,,,,,y
3/16/19,SCI,SHOBA,3,con,43,45.99,45.99,NA,,,,,,,,,,NA
3/16/19,SCI,SHOBA,4,exp,6,37.07,34.25,2.909196343,6,,,,,,,,31,y
3/16/19,SCI,SHOBA,4,exp,9,38.08,29.94,4.715441282,,,,4,,,,,,n
3/16/19,SCI,SHOBA,4,con,29,41.81,38.05,NA,,,,,,,,,,NA
3/16/19,SCI,SHOBA,4,con,30,41.56,41.66,NA,,,,,,,,,,NA
3/16/19,SCI,SHOBA,5,exp,15,41.5,17.27,21.08180168,3,,15,,43,,50,,3,n
3/16/19,SCI,SHOBA,5,exp,50,43.2,44.92,-0.055678392,3,,20,,,,50,,,y
3/16/19,SCI,SHOBA,5,con,57,36.91,34.11,NA,,,,,,,,,,NA
3/16/19,SCI,SHOBA,5,con,79,47.76,49.6,NA,,,,,,,,,,NA
3/16/19,SCI,SHOBA,6,exp,55,39.45,39.65,-0.480679588,4,2,,,,,,,21,n
3/16/19,SCI,SHOBA,6,con,56,40.76,40.47,NA,,,,,,,,,,NA
3/16/19,SCI,SHOBA,6,exp,69,41.61,28.2,13.1139524,,,,,,,,,,y
3/16/19,SCI,SHOBA,6,con,76,42.45,NA,NA,3,,3,,,,,,,NA
3/16/19,SCI,SHOBA,7,con,8,39.71,40.08,NA,,,,,,,,,6,NA
3/16/19,SCI,SHOBA,7,con,23,36.74,NA,NA,,,,,,,,,,NA
3/16/19,SCI,SHOBA,7,exp,59,44.54,44.64,0.315003777,2,,,,,,,,,n
3/16/19,SCI,SHOBA,7,exp,65,44.1,44.47,0.040904054,,,,,,,,,,y
3/16/19,SCI,SHOBA,8,con,13,42.58,NA,NA,,,,,,,,,1,NA
3/16/19,SCI,SHOBA,8,exp,16,47.22,16.47,30.08257951,,,,,,,,,,n
3/16/19,SCI,SHOBA,8,con,40,45.28,44.64,NA,,,,,,,,,,NA
3/16/19,SCI,SHOBA,8,exp,71,35.94,32.75,2.682014134,,,,,,,,,,y
3/16/19,SCI,SHOBA,9,exp,7,34.71,35.16,-0.166710875,,,,,,,,,28,y
3/16/19,SCI,SHOBA,9,con,17,49.01,49.41,NA,,,,,,,,,,NA
3/16/19,SCI,SHOBA,9,con,35,49.44,51.09,NA,,,,,,,,,,NA
3/16/19,SCI,SHOBA,9,exp,38,40.61,33.88,8.085309466,,,5,,9,,,,,n
3/16/19,SCI,SHOBA,10,con,4,38.18,38.22,NA,,,,,,,,,3,NA
3/16/19,SCI,SHOBA,10,con,25,46.75,48.13,NA,,,,,,,,,,NA
3/16/19,SCI,SHOBA,10,exp,27,43.31,43.09,0.265374542,1,,,,,1,,,,y
3/16/19,SCI,SHOBA,10,exp,75,43.73,16.86,28.16085348,,,,,,,,,,y
3/16/19,SCI,SHOBA,11,con,11,38.03,38.19,NA,,,,,,,,,4,NA
3/16/19,SCI,SHOBA,11,con,51,40.42,40.42,NA,,,,,,,,,,NA
3/16/19,SCI,SHOBA,11,exp,60,43.04,43,0.04,,,31,,,,,,,y
3/16/19,SCI,SHOBA,11,exp,63,43.47,43.36,0.292887194,,,24,,,,,,,n
3/16/19,SCI,SHOBA,12,exp,19,48.02,17.17,31.65925898,,,29,,,,,,33,y
3/16/19,SCI,SHOBA,12,con,45,43.26,43.57,NA,,,,,,,,,,NA
3/16/19,SCI,SHOBA,12,exp,66,44.44,40.83,3.928455848,2,,15,4,129,,,,,n
3/16/19,SCI,SHOBA,12,con,77,40.35,41.03,NA,,,,,,,,,,NA
3/16/19,SCI,SHOBA,13,con,21,45.33,46.54,NA,,,,,,,,,0,NA
3/16/19,SCI,SHOBA,13,con,26,40.17,40.03,NA,,,,,,,,,,NA
3/16/19,SCI,SHOBA,13,exp,61,41.92,35.47,6.303900921,,,,,46,1,,,,n
3/16/19,SCI,SHOBA,13,exp,80,40.05,40.09,1.029060225,1,,,3,44,,,,,n
3/16/19,SCI,SHOBA,14,con,5,40.19,38.74,NA,,,,,,,,,3,NA
3/16/19,SCI,SHOBA,14,exp,20,48.27,46.73,-0.87138475,3,,10,,123,,,,,n
3/16/19,SCI,SHOBA,14,con,49,45.64,43.36,NA,,,,,,,,,,NA
3/16/19,SCI,SHOBA,14,exp,68,50.31,21.34,27.1548843,1,,,,229,,,,,n
3/16/19,SCI,SHOBA,15,con,24,43.44,43.22,NA,,,,,,,,,0,NA
3/16/19,SCI,SHOBA,15,exp,28,46.45,46.38,0.07,,,4,,,,,,,y
3/16/19,SCI,SHOBA,15,con,31,43.49,43.49,NA,,,,,,,,,,NA
3/18/19,SCI,SHOBA,15,exp,78,43.26,43.26,NA,,,,,,,,,,NA
3/16/19,SCI,SHOBA,16,con,33,43.74,43.2,NA,,,,,,,,,1,NA
3/16/19,SCI,SHOBA,16,exp,47,43.7,43.49,-0.329506173,1,7,24,,,,,,,n
3/16/19,SCI,SHOBA,16,exp,58,42.37,42.34,-0.065751412,,,,,,,,,,y
3/16/19,SCI,SHOBA,16,con,67,44.25,44.15,NA,,,,,,,,,,NA
