site,experiment,block,trt,plate_num,treatment,algae_spp.,Wi,correction,Wrec,Wf,0.5m_herm,0.5m_teg,0.5m_ab,0.5m_ur,0.5m_pac,0.5m_chi,0.5m_lim,herm_on_plate,teg_on_plate,ab_on_plate,herm_in_cage,teg_in_cage,ab_in_cage,tide_cycles ,start,end,Time
Cosign,1A,1,Ab ,9,AMB,M,39.76,NA,35.73,4.432123894,6,153,20,0,1,1,37,0,1,0,0,0,0,1,1/8/20,1/9/20,1
Cosign,1A,1,Ab ,14,CON,M,39.55,1.01011378,39.95,NA,6,153,20,0,1,1,37,NA,NA,NA,NA,NA,NA,1,1/8/20,1/9/20,1
Cosign,1A,1,Ab ,24,ABX,M,36.35,NA,36.11,0.607635904,6,153,20,0,1,1,37,0,0,0,0,1,0,1,1/8/20,1/9/20,1
Cosign,1A,1,Ab ,46,AMB,S,42.2,NA,35.09,7.407923669,6,153,20,0,1,1,37,3,1,0,0,0,0,1,1/8/20,1/9/20,1
Cosign,1A,1,Ab ,56,CON,S,42.61,1.007059803,,NA,6,153,20,0,1,1,37,NA,NA,NA,NA,NA,NA,1,1/8/20,1/9/20,1
Cosign,1A,1,Ab ,68,ABX,S,32.65,NA,32.25,0.630502554,6,153,20,0,1,1,37,0,0,0,0,3,0,1,1/8/20,1/9/20,1
Cosign,1A,2,Ab ,7,AMB,M,38.26,NA,25.27,10.83463733,3,140,19,1,0,2,53,1,0,0,0,0,0,1,1/8/20,1/9/20,1
Cosign,1A,2,Ab ,12,CON,M,41.36,0.943665377,39.03,NA,3,140,19,1,0,2,53,NA,NA,NA,NA,NA,NA,1,1/8/20,1/9/20,1
Cosign,1A,2,Ab ,21,ABX,M,43.47,NA,37.42,3.601133946,3,140,19,1,0,2,53,4,2,0,4,2,0,1,1/8/20,1/9/20,1
Cosign,1A,2,Ab ,50,AMB,S,37.33,NA,27.95,9.558186158,3,140,19,1,0,2,53,3,2,0,0,0,0,1,1/8/20,1/9/20,1
Cosign,1A,2,Ab ,58,CON,S,46.09,1.00477327,46.31,NA,3,140,19,1,0,2,53,NA,NA,NA,NA,NA,NA,1,1/8/20,1/9/20,1
Cosign,1A,2,Ab ,67,ABX,S,40.64,NA,40.49,0.34398568,3,140,19,1,0,2,53,0,0,0,0,0,0,1,1/8/20,1/9/20,1
Cosign,1A,3,Ab ,8,AMB,M,36.94,NA,28.69,8.114820688,4,85,22,0,0,0,20,0,0,0,0,0,0,2,1/8/20,1/10/20,2
Cosign,1A,3,Ab ,15,CON,M,40.99,0.996340571,40.84,NA,4,85,22,0,0,0,20,NA,NA,NA,NA,NA,NA,2,1/8/20,1/10/20,2
Cosign,1A,3,Ab ,25,ABX,M,36.69,NA,36.06,0.495735545,4,85,22,0,0,0,20,0,0,0,0,0,0,2,1/8/20,1/10/20,2
Cosign,1A,3,Ab ,48,AMB,S,37.24,NA,32.77,4.642318766,4,85,22,0,0,0,20,0,13,0,0,0,0,2,1/8/20,1/10/20,2
Cosign,1A,3,Ab ,59,CON,S,38.9,1.004627249,39.08,NA,4,85,22,0,0,0,20,NA,NA,NA,NA,NA,NA,2,1/8/20,1/10/20,2
Cosign,1A,3,Ab ,EXT3,ABX,S,40.87,NA,41.33,-0.270884319,4,85,22,0,0,0,20,0,0,0,0,0,0,2,1/8/20,1/10/20,2
Cosign,1A,4,Ab ,2,AMB,M,40.55,NA,29.02,11.01756557,0,35,6,0,0,0,18,0,3,0,0,0,0,1,1/8/20,1/9/20,1
Cosign,1A,4,Ab ,18,CON,M,41.94,0.987362899,41.41,NA,0,35,6,0,0,0,18,NA,NA,NA,NA,NA,NA,1,1/8/20,1/9/20,1
Cosign,1A,4,Ab ,28,ABX,M,37.28,NA,36.86,-0.051111111,0,35,6,0,0,0,18,0,0,0,0,0,0,1,1/8/20,1/9/20,1
Cosign,1A,4,Ab ,45,AMB,S,35.7,NA,33.96,0.982632956,0,35,6,0,0,0,18,0,4,0,0,0,0,1,1/8/20,1/9/20,1
Cosign,1A,4,Ab ,55,CON,S,34.41,0.978785237,33.68,NA,0,35,6,0,0,0,18,NA,NA,NA,NA,NA,NA,1,1/8/20,1/9/20,1
Cosign,1A,4,Ab ,63,ABX,S,36.23,NA,36.42,-0.958610869,0,35,6,0,0,0,18,0,0,0,0,0,0,1,1/8/20,1/9/20,1
Cosign,1A,5,Ab ,4,AMB,M,36.94,NA,34.67,2.047347945,0,15,22,0,0,0,50,1,0,0,0,0,0,2,1/8/20,1/10/20,2
Cosign,1A,5,Ab ,17,CON,M,36.5,0.993972603,36.28,NA,0,15,22,0,0,0,50,NA,NA,NA,NA,NA,NA,2,1/8/20,1/10/20,2
Cosign,1A,5,Ab ,26,ABX,M,44.42,NA,44.49,-0.337736986,0,15,22,0,0,0,50,0,0,0,0,0,0,2,1/8/20,1/10/20,2
Cosign,1A,5,Ab ,42,AMB,S,33.26,NA,32.28,1.009269581,0,15,22,0,0,0,50,0,0,0,0,0,0,2,1/8/20,1/10/20,2
Cosign,1A,5,Ab ,52,CON,S,34.09,1.000880023,34.12,NA,0,15,22,0,0,0,50,NA,NA,NA,NA,NA,NA,2,1/8/20,1/10/20,2
Cosign,1A,5,Ab ,64,ABX,S,41.29,NA,41.78,-0.453663831,0,15,22,0,0,0,50,0,0,0,0,0,0,2,1/8/20,1/10/20,2
Cosign,1A,6,Ab ,10,AMB,M,40.49,NA,NA,NA,1,100,40,0,0,0,51,0,0,0,0,0,0,1,1/8/20,1/9/20,1
Cosign,1A,6,Ab ,11,CON,M,35.06,0.992869367,34.81,NA,1,100,40,0,0,0,51,NA,NA,NA,NA,NA,NA,1,1/8/20,1/9/20,1
Cosign,1A,6,Ab ,23,ABX,M,35.39,NA,35.21,-0.072353109,1,100,40,0,0,0,51,0,0,0,0,0,0,1,1/8/20,1/9/20,1
Cosign,1A,6,Ab ,47,AMB,S,34.84,NA,33.29,1.709006085,1,100,40,0,0,0,51,0,0,0,0,0,0,1,1/8/20,1/9/20,1
Cosign,1A,6,Ab ,60,CON,S,39.44,1.004563895,39.62,NA,1,100,40,0,0,0,51,NA,NA,NA,NA,NA,NA,1,1/8/20,1/9/20,1
